input,max_epsilon,time
"[4.8, 3.0, 1.4, 0.3]",0.0774,146.77473402023315
"[5.1, 3.4, 1.5, 0.2]",0.0313,130.1021807193756
"[4.6, 3.6, 1.0, 0.2]",0.2001,80.67524909973145
"[5.4, 3.7, 1.5, 0.2]",0.0292,144.91031551361084
"[5.1, 3.5, 1.4, 0.2]",0.0696,126.92754936218262
"[5.5, 4.2, 1.4, 0.2]",0.0418,136.80354619026184
"[5.0, 3.6, 1.4, 0.2]",0.0654,123.04913401603699
"[4.8, 3.0, 1.4, 0.1]",0.0776,118.75661253929138
"[5.4, 3.4, 1.5, 0.4]",0.0292,127.31893610954285
"[4.4, 3.2, 1.3, 0.2]",0.128,140.9024670124054
mean,0.07496Â±0.053541307002683045,127.62207245826721
