input,max_epsilon
"[0.40068999205630484, -0.7853981633848233, 0.7853981633848233, -0.36717383381801905, 0.36717383381801905]",0.1331
"[0.37854446381574186, -0.7853981633833234, 0.7853981633833234, -0.4939413689193023, 0.4939413689193023]",0.086
"[0.2726952124732092, -0.7853981633703859, 0.7853981633703859, -0.2449786631267368, 0.2449786631267368]",0.1825
"[0.21671909096788713, -0.7853981633546984, 0.7853981633546984, -0.3947911196995507, 0.3947911196995507]",0.1246
"[0.4399759547909189, -0.7853981633869483, 0.7853981633869483, -0.32175055439646705, 0.32175055439646705]",0.1485
"[0.21345445845342365, -0.785398163353386, 0.785398163353386, -0.4297622790964567, 0.4297622790964567]",0.1163
"[0.228045874622733, -0.7853981633588233, 0.7853981633588233, -0.3729877217998627, 0.3729877217998627]",0.133
"[0.34154510699930746, -0.7853981633801358, 0.7853981633801358, -0.6556956262411403, 0.6556956262411403]",0.0512
"[0.28097940350704065, -0.7853981633719483, 0.7853981633719483, -0.6435011087929019, 0.6435011087929019]",0.0512
"[0.27791082654413063, -0.7853981633713859, 0.7853981633713859, -0.1488899476094207, 0.1488899476094207]",0.2177
mean,0.12440999999999999Â±0.052775887802417244
